Manufacturer,Machine Model,Machinery Category,Engine Capacity (L),Engine Cylinders,Transmission Type,Fuel Category,Fuel Consumption (Load Condition) (L/100 hr),Fuel Consumption (No-Load Condition) (L/100 hr),Average Fuel Consumption (L/100 hr),Average Fuel Efficiency (hrg),CO2 Emissions (g/hr),CO2 Emissions Level
Honda Heavy Industries,H-VV,Small-Scale Transport Machinery,1.8,4,M6,X,9.4,7.1,8.4,34,195,low
Dodge Equipment Ltd.,CAG),Heavy-Duty Utility Machinery,5.7,8,A5,X,16.1,10.0,13.4,21,308,high
Bentley Heavy Systems,CNIC,Subcompact Utility Machinery,4.0,8,AS8,Z,17.4,10.2,14.2,20,332,high
Dodge Equipment Ltd.,CALR,Mid-Sized Utility Machines,6.4,8,M6,Z,16.8,10.4,13.9,20,326,high
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,3.0,6,M6,Z,14.9,9.8,12.6,22,296,high
Jeep Engineering Co.,RNG4,Small Utility Vehicle,1.3,4,A9,X,10.1,8.1,9.2,31,216,medium
Ford Industrial Corp.,F10),Standard Transport Machinery,5.0,8,AS10,X,15.6,11.8,13.9,20,326,high
Audi Industrial Equipment,QQ55,Small Utility Vehicle,2.0,4,AS8,Z,12.0,8.5,10.4,27,239,medium
Infiniti Machine Works,Q0AD,Mid-Sized Utility Machines,3.7,6,AS7,Z,13.2,9.6,11.6,24,267,high
Chevrolet Engineering Works,CREE,Small-Scale Operator Machinery,6.2,8,M7,Z,14.6,9.3,12.2,23,286,high
Ford Industrial Corp.,F10),Standard Transport Machinery,5.0,8,AS6,X,16.8,11.8,14.5,19,341,high
General Manufacturing Corporation,YKND,Standard Utility Vehicle,5.3,8,A6,E,21.5,14.6,18.4,15,294,high
Lexus Engineering,E_0H,Mid-Sized Utility Machines,2.5,4,AV6,X,5.8,6.1,5.9,48,139,very low
General Manufacturing Corporation,YKNV,Standard Utility Vehicle,5.3,8,A6,X,15.1,10.4,13.0,22,304,high
Chevrolet Engineering Works,SAKK,Subcompact Utility Machinery,1.4,4,AV,X,7.8,6.2,7.1,40,167,low
Mitsubishi Industrial Equipment,LNEK,Small-Scale Transport Machinery,2.0,4,M5,X,9.9,7.3,8.7,32,205,medium
General Manufacturing Corporation,YKND,Standard Utility Vehicle,5.3,8,A6,X,16.0,11.1,13.8,20,317,high
Volvo Industrial Solutions,S0PR,Compact Utility Equipment,2.0,4,AS8,Z,11.8,8.5,10.3,27,241,medium
Dodge Equipment Ltd.,CAGT,Heavy-Duty Utility Machinery,6.2,8,A8,Z,17.6,10.7,14.5,19,339,high
Volkswaren Machine Systems,GLFF,Compact Utility Equipment,1.4,4,AS8,X,8.1,6.6,7.4,38,174,low
Chevrolet Engineering Works,CLRD,Light-Duty Transport Machinery,3.6,6,A8,X,15.0,13.0,14.1,20,331,high
Cadillac Engineering Solutions,C5VD,Mid-Sized Utility Machines,3.0,6,AS10,Z,13.8,9.4,11.8,24,276,high
Cadillac Engineering Solutions,XSVD,Heavy-Duty Utility Machinery,3.6,6,AS6,Z,15.0,10.3,12.8,22,299,high
Ford Industrial Corp.,FETE,Subcompact Utility Machinery,1.6,4,AS6,X,8.4,6.2,7.4,38,170,low
Infiniti Machine Works,Q6_D,Standard Utility Vehicle,2.5,4,AV,X,8.8,8.2,8.5,33,196,low
Chevrolet Engineering Works,CLRO,Light-Duty Transport Machinery,2.5,4,A6,X,11.9,8.8,10.5,27,242,medium
Fiat Industrial Equipment,50_D,Small Utility Vehicle,2.4,4,A9,X,11.0,7.9,9.6,29,224,medium
Buick Heavy Industries,ECRG,Small Utility Vehicle,1.4,4,AS6,X,8.5,6.9,7.8,36,182,low
Lexus Engineering,G_5H,Mid-Sized Utility Machines,3.5,6,AV8,Z,8.0,6.9,7.5,38,176,low
Porsche Engineering Works,CYAN,Small-Scale Operator Machinery,2.7,6,AM7,Z,10.7,7.4,9.2,31,217,medium
Hyundai Manufacturing Solutions,ACNT,Compact Utility Equipment,1.6,4,AS6,X,8.9,6.6,7.9,36,182,low
Korea Industrial Apparatus,OTMD,Mid-Sized Utility Machines,2.0,4,AS6,X,6.0,5.1,5.6,50,132,very low
Dodge Equipment Ltd.,CAGR,Heavy-Duty Utility Machinery,3.6,6,A5,X,13.7,9.0,11.6,24,271,high
Jeep Engineering Co.,CMAS,Small Utility Vehicle,2.0,4,AV,X,10.8,8.9,10.0,28,234,medium
Ford Industrial Corp.,F10),Standard Transport Machinery,5.0,8,AS6,X,16.0,11.8,14.1,20,330,high
Porsche Engineering Works,91TT,Mini Utility Equipment,3.8,6,AM7,Z,12.6,9.9,11.4,25,267,high
Land Rover Machinery Co.,RNEB,Standard Utility Vehicle,5.0,8,AS8,Z,17.9,12.7,15.5,18,365,high
Volkswaren Machine Systems,GL_I,Compact Utility Equipment,2.0,4,M6,X,9.4,6.9,8.3,34,193,low
Dodge Equipment Ltd.,CALR,Mid-Sized Utility Machines,3.6,6,A8,X,12.4,7.8,10.3,27,242,medium
Buick Heavy Industries,RGLL,Mid-Sized Utility Machines,2.0,4,M6,Z,11.6,7.5,9.8,29,225,medium
Cadillac Engineering Solutions,ECLD,Standard Utility Vehicle,6.2,8,A10,Z,16.6,10.9,14.0,20,328,high
Ford Industrial Corp.,F10V,Standard Transport Machinery,5.0,8,AS10,E,20.2,14.0,17.4,16,288,high
Chevrolet Engineering Works,SLED,Standard Transport Machinery,5.3,8,A8,X,14.7,10.7,12.9,22,303,high
Cadillac Engineering Solutions,CSAD,Mid-Sized Utility Machines,2.0,4,AS8,Z,11.2,8.2,9.8,29,229,medium
Ford Industrial Corp.,TUUD,Heavy-Duty Utility Machinery,3.5,6,AS6,E,18.7,13.4,16.3,17,271,high
Ford Industrial Corp.,TASV,Specialized Industrial Machinery,2.5,4,AS6,X,11.9,8.7,10.4,27,244,medium
Acura Manufacturing,RXHD,Mid-Sized Utility Machines,3.5,6,AM7,Z,8.4,8.2,8.4,34,196,low
Porsche Engineering Works,PNM4,Heavy-Duty Utility Machinery,3.6,6,AM7,Z,13.1,8.7,11.1,25,255,high
Porsche Engineering Works,91CA,Mini Utility Equipment,3.0,6,M7,Z,11.8,8.1,10.1,28,237,medium
Mazda Manufacturing Corp.,C-_D,Small Utility Vehicle,2.5,4,AS6,X,11.6,9.1,10.5,27,244,medium
Ford Industrial Corp.,F10),Standard Transport Machinery,5.0,8,AS10,E,20.4,14.0,17.5,16,291,high
Cadillac Engineering Solutions,X555,Small Utility Vehicle,3.6,6,AS8,X,12.1,8.9,10.6,27,250,medium
Lexus Engineering,L_0H,Subcompact Utility Machinery,3.5,6,AV10,Z,9.0,7.1,8.1,35,189,low
Porsche Engineering Works,91C4,Mini Utility Equipment,3.0,6,AM7,Z,10.7,8.3,9.6,29,225,medium
Nissan Machinery Ltd.,MXMA,Mid-Sized Utility Machines,3.5,6,AV7,Z,10.9,7.8,9.5,30,223,medium
Bauer Machinery Works,X_DI,Small Utility Vehicle,2.0,4,AS8,Z,11.1,8.4,9.9,29,228,medium
Maserat Engineering Ltd.,GILI,Mid-Sized Utility Machines,3.0,6,AS8,Z,14.1,9.8,12.4,23,286,high
Bauer Machinery Works,M_AT,Subcompact Utility Machinery,3.0,6,M6,Z,13.7,9.1,11.7,24,273,high
Korea Industrial Apparatus,SDNX,Compact Transport Equipment,3.3,6,AS6,X,12.9,9.5,11.4,25,269,high
Bauer Machinery Works,M3IT,Subcompact Utility Machinery,3.0,6,AS8,Z,11.8,8.1,10.2,28,235,medium
Nissan Machinery Ltd.,MXMA,Mid-Sized Utility Machines,3.5,6,AV7,Z,11.1,7.8,9.6,29,227,medium
Mercedes Industrial Solutions,AGC5,Compact Utility Equipment,2.0,4,AS7,Z,10.7,7.6,9.3,30,221,medium
Ford Industrial Corp.,F104,Standard Transport Machinery,3.3,6,AS6,E,17.6,13.7,15.8,18,263,high
Korea Industrial Apparatus,K000,Heavy-Duty Utility Machinery,5.0,8,AS8,Z,15.6,10.6,13.3,21,317,high
Toyota Heavy Machinery,PISS,Mid-Sized Utility Machines,1.8,4,AV,X,4.4,4.6,4.4,64,105,very low
Audi Industrial Equipment,AA88,Heavy-Duty Utility Machinery,3.0,6,AS8,Z,12.6,8.0,10.5,27,247,medium
Jeep Engineering Co.,CEOV,Small Utility Vehicle,2.4,4,A9,E,15.5,10.5,13.3,21,218,medium
Dodge Equipment Ltd.,CALR,Mid-Sized Utility Machines,5.7,8,M6,X,15.6,10.0,13.1,22,301,high
Cadillac Engineering Solutions,XSSS,Heavy-Duty Utility Machinery,3.6,6,AS6,X,13.6,8.6,11.3,25,260,high
General Manufacturing Corporation,SERV,Standard Transport Machinery,5.3,8,A6,E,21.8,16.8,19.5,14,325,high
Alfa Machinery Systems,GUIO,Mid-Sized Utility Machines,2.9,6,A8,Z,13.8,9.6,11.9,24,280,high
Porsche Engineering Works,91TS,Mini Utility Equipment,3.8,6,AM7,Z,12.6,9.9,11.4,25,266,high
Mercedes Industrial Solutions,S40B,Mid-Sized Utility Machines,3.0,6,A9,Z,12.8,8.5,10.8,26,253,high
Mercedes Industrial Solutions,AGEC,Mid-Sized Utility Machines,3.0,6,A9,Z,12.4,9.4,11.1,25,258,high
Chevrolet Engineering Works,SBRV,Standard Utility Vehicle,5.3,8,A6,X,15.7,10.5,13.4,21,314,high
Audi Industrial Equipment,T_OO,Subcompact Utility Machinery,2.0,4,AM7,X,10.3,7.7,9.1,31,213,medium
Bauer Machinery Works,30II,Compact Utility Equipment,2.0,4,AS8,Z,10.0,6.5,8.4,34,200,low
Chevrolet Engineering Works,CMRO,Subcompact Utility Machinery,2.0,4,M6,Z,11.9,7.9,10.1,28,235,medium
Mercedes Industrial Solutions,AGGS,Standard Utility Vehicle,5.5,8,AS7,Z,18.2,14.0,16.3,17,369,high
Fiat Industrial Equipment,50HO,Mini Utility Equipment,1.4,4,M5,X,8.5,6.9,7.8,36,183,low
Dodge Equipment Ltd.,CAGV,Heavy-Duty Utility Machinery,3.6,6,A8,E,16.8,10.3,13.9,20,229,medium
Jeep Engineering Co.,CMA4,Small Utility Vehicle,2.4,4,AV,X,11.7,10.3,11.1,25,259,high
Porsche Engineering Works,91CT,Mini Utility Equipment,3.4,6,AM7,Z,11.9,8.7,10.5,27,242,medium
Subaru Heavy Machinery,BZZZ,Mini Utility Equipment,2.0,4,AS6,Z,9.7,7.2,8.6,33,200,low
Dodge Equipment Ltd.,CAG),Heavy-Duty Utility Machinery,5.7,8,A8,X,14.7,9.4,12.3,23,289,high
Dodge Equipment Ltd.,DR_V,Mid-Sized Utility Machines,2.0,4,A6,E,14.2,9.8,12.2,23,195,low
Cadillac Engineering Solutions,CSSN,Small-Scale Transport Machinery,3.0,6,AS6,X,12.7,8.9,11.0,26,253,high
Mazda Manufacturing Corp.,MZA5,Compact Transport Equipment,2.5,4,M6,X,11.1,8.3,9.8,29,229,medium
General Manufacturing Corporation,YKNV,Standard Utility Vehicle,5.3,8,A6,E,21.2,13.9,17.9,16,298,high
Lincoln Manufacturing,MTAD,Standard Utility Vehicle,3.5,6,AS6,X,15.7,11.2,13.7,21,321,high
Jeep Engineering Co.,RNG4,Small Utility Vehicle,2.4,4,A9,X,11.2,8.2,9.8,29,230,medium
Fiat Industrial Equipment,5000,Mini Utility Equipment,1.4,4,M5,X,8.4,7.0,7.8,36,182,low
General Manufacturing Corporation,YKNV,Standard Utility Vehicle,5.3,8,A6,E,21.2,13.9,17.9,16,298,high
Volkswaren Machine Systems,JTAA,Compact Utility Equipment,1.8,4,AM6,X,9.4,6.8,8.2,34,193,low
Jeep Engineering Co.,PTIT,Small Utility Vehicle,2.0,4,M5,X,10.2,7.8,9.1,31,209,medium
Chevrolet Engineering Works,EPED,Cargo Transport Equipment,5.3,8,A4,X,18.3,14.2,16.5,17,380,high
Bauer Machinery Works,48_T,Subcompact Utility Machinery,2.0,4,AS8,Z,10.8,6.7,8.9,32,211,medium
Ford Industrial Corp.,CMXD,Heavy-Duty Utility Machinery,2.0,4,AV,X,5.6,6.4,6.0,47,138,very low
Porsche Engineering Works,91CT,Mini Utility Equipment,3.8,6,AM7,Z,12.2,8.7,10.6,27,244,medium
Ford Industrial Corp.,FSON,Mid-Sized Utility Machines,2.0,4,AS6,X,10.5,7.1,9.0,31,207,medium
Volvo Industrial Solutions,X6_5,Small Utility Vehicle,2.0,4,AS8,X,9.8,7.6,8.8,32,202,medium
Honda Heavy Industries,H-VV,Small Utility Vehicle,1.8,4,AV,X,8.3,6.7,7.6,37,177,low
Bentley Heavy Systems,BNAA,Standard Utility Vehicle,4.0,8,AS8,Z,16.4,10.1,13.6,21,315,high
Mazda Manufacturing Corp.,MZAR,Compact Utility Equipment,2.0,4,AS6,X,8.4,6.6,7.6,37,178,low
Chevrolet Engineering Works,EUNV,Small Utility Vehicle,2.4,4,A6,X,11.5,8.2,10.0,28,230,medium
Toyota Heavy Machinery,RV44,Small Utility Vehicle,2.5,4,AS6,X,10.0,7.6,8.9,32,205,medium
Mazda Manufacturing Corp.,MZAR,Compact Utility Equipment,2.5,4,AS6,X,8.4,6.1,7.4,38,170,low
Aston Martin Technologies,V_AE,Small-Scale Operator Machinery,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,high
Lexus Engineering,G_5D,Mid-Sized Utility Machines,3.5,6,AS6,Z,12.4,9.2,11.0,26,257,high
Chrysler Engineering,30FV,Heavy-Duty Utility Machinery,3.6,6,A8,X,12.4,7.7,10.3,27,237,medium
Mazda Manufacturing Corp.,C-99,Small Utility Vehicle,2.5,4,AS6,X,10.6,8.4,9.6,29,225,medium
Hyundai Manufacturing Solutions,VLSN,Compact Utility Equipment,2.0,4,M6,X,10.6,8.3,9.5,30,226,medium
Volvo Industrial Solutions,S0CD,Compact Utility Equipment,2.0,4,AS8,X,10.8,7.8,9.4,30,220,medium
Infiniti Machine Works,Q600,Small Utility Vehicle,3.5,6,AV7,Z,11.9,8.8,10.5,27,246,medium
Bauer Machinery Works,50_E,Mid-Sized Utility Machines,4.4,8,AS8,Z,14.4,9.6,12.3,23,288,high
Hyundai Manufacturing Solutions,EATA,Mid-Sized Utility Machines,2.0,4,AS6,X,8.3,6.4,7.4,38,174,low
Bauer Machinery Works,X_DI,Standard Utility Vehicle,4.4,8,A8,Z,16.4,11.3,14.1,20,324,high
Mercedes Industrial Solutions,AGSE,Compact Utility Equipment,5.5,8,AS7,Z,15.3,10.2,13.0,22,305,high
Fiat Industrial Equipment,50_D,Small Utility Vehicle,1.3,4,A9,X,10.0,7.9,9.1,31,213,medium
Jeep Engineering Co.,PTI4,Small Utility Vehicle,2.4,4,AV,X,11.7,10.3,11.1,25,259,high
Mazda Manufacturing Corp.,MZA5,Compact Transport Equipment,2.5,4,AS5,X,10.8,8.4,9.7,29,223,medium
Dodge Equipment Ltd.,DRND,Standard Utility Vehicle,5.7,8,A8,X,16.7,10.9,14.1,20,331,high
Volkswaren Machine Systems,JTAA,Compact Utility Equipment,1.4,4,AS8,X,7.8,5.9,7.0,40,162,low
Mercedes Industrial Solutions,SK20,Small-Scale Operator Machinery,1.8,4,AS7,Z,10.4,7.2,9.0,31,207,medium
Dodge Equipment Ltd.,DRTT,Mid-Sized Utility Machines,2.0,4,M6,X,9.4,6.5,8.1,35,186,low
Porsche Engineering Works,91CS,Mini Utility Equipment,3.8,6,M7,Z,12.4,8.7,10.7,26,246,medium
Land Rover Machinery Co.,RNE0,Small Utility Vehicle,2.0,4,AS8,D,9.2,7.8,8.5,33,229,medium
Mercedes Industrial Solutions,S40B,Mid-Sized Utility Machines,3.0,6,A9,Z,12.8,8.5,10.9,26,255,high
Mini Industrial Tools,COE4,Compact Utility Equipment,1.6,4,M6,Z,9.3,7.5,8.5,33,196,low
Land Rover Machinery Co.,RNEB,Standard Utility Vehicle,5.0,8,AS8,E,25.0,16.9,21.4,13,342,high
Lincoln Manufacturing,MZHD,Mid-Sized Utility Machines,2.0,4,AV,X,5.7,6.2,5.9,48,139,very low
Jaguar Industrial Machines,XRRR,Mid-Sized Utility Machines,5.0,8,AS8,Z,15.7,10.3,13.2,21,304,high
Dodge Equipment Ltd.,CAL),Mid-Sized Utility Machines,5.7,8,A8,X,14.7,9.4,12.3,23,289,high
Ford Industrial Corp.,TUUS,Heavy-Duty Utility Machinery,2.0,4,AS6,X,10.5,7.3,9.1,31,209,medium
Bauer Machinery Works,30_E,Compact Utility Equipment,3.0,6,M6,Z,11.9,8.3,10.3,27,241,medium
Buick Heavy Industries,RGLL,Mid-Sized Utility Machines,2.0,4,M6,Z,11.6,7.6,9.8,29,225,medium
Dodge Equipment Ltd.,GADV,Compact Transport Equipment,3.6,6,A6,E,19.2,13.1,16.4,17,262,high
Nissan Machinery Ltd.,QSQI,Small-Scale Transport Machinery,2.0,4,AV,X,8.8,7.3,8.1,35,191,low
Mini Industrial Tools,JH_S,Subcompact Utility Machinery,2.0,4,AS6,Z,9.4,7.5,8.5,33,199,low
Cadillac Engineering Solutions,CSVE,Mid-Sized Utility Machines,6.2,8,M6,Z,16.7,12.5,14.8,19,340,high
Porsche Engineering Works,91CT,Mini Utility Equipment,3.0,6,AM8,Z,13.1,10.2,11.8,24,277,high
Volkswaren Machine Systems,BELE,Compact Utility Equipment,1.8,4,AS6,X,9.6,7.5,8.6,33,201,medium
Jeep Engineering Co.,RNGE,Small Utility Vehicle,1.4,4,M6,X,9.9,7.5,8.8,32,202,medium
Nissan Machinery Ltd.,G-RR,Subcompact Utility Machinery,3.8,6,AM6,Z,14.3,10.5,12.6,22,290,high
Bauer Machinery Works,M6LE,Heavy-Duty Utility Machinery,6.6,12,AS8,Z,17.7,11.9,15.1,19,355,high
Toyota Heavy Machinery,TCMD,Light-Duty Transport Machinery,3.5,6,M6,X,13.6,11.2,12.5,23,292,high
Ram Industrial Equipment,10_),Standard Transport Machinery,5.7,8,A8,X,16.2,11.5,14.1,20,330,high
Ford Industrial Corp.,EPOV,Standard Utility Vehicle,3.5,6,AS6,X,13.7,9.7,11.9,24,274,high
Jeep Engineering Co.,WAGE,Small Utility Vehicle,3.6,6,A8,X,12.0,9.8,11.0,26,259,high
Chevrolet Engineering Works,SNCS,Mid-Sized Utility Machines,1.4,4,AS6,X,9.4,7.0,8.3,34,191,low
Nissan Machinery Ltd.,MRND,Mid-Sized Transport Machinery,3.5,6,AV7,X,11.2,8.4,9.9,29,232,medium
Chevrolet Engineering Works,CUEL,Compact Utility Equipment,1.6,4,M6,D,7.7,4.5,6.3,45,169,low
Chrysler Engineering,20FV,Mid-Sized Utility Machines,2.4,4,A9,E,13.9,8.9,11.7,24,192,low
Nissan Machinery Ltd.,SNRO,Mid-Sized Utility Machines,1.6,4,AV7,Z,9.4,7.8,8.7,32,205,medium
Toyota Heavy Machinery,SQOD,Standard Utility Vehicle,5.7,8,AS6,X,19.0,13.9,16.7,17,384,high
Chevrolet Engineering Works,SBRD,Standard Utility Vehicle,5.3,8,A6,X,16.8,11.3,14.3,20,336,high
Bauer Machinery Works,30_E,Compact Utility Equipment,3.0,6,AS8,Z,11.1,7.5,9.5,30,223,medium
Subaru Heavy Machinery,OTAD,Small Utility Vehicle,3.6,6,AS5,X,13.4,9.7,11.7,24,269,high
Porsche Engineering Works,91C4,Mini Utility Equipment,3.4,6,AM7,Z,11.7,8.5,10.2,28,240,medium
Chevrolet Engineering Works,THEE,Standard Utility Vehicle,5.3,8,A6,X,15.1,10.4,13.0,22,305,high
Mercedes Industrial Solutions,GK2C,Small Utility Vehicle,2.1,4,AS7,D,9.6,7.0,8.5,33,230,medium
Ram Industrial Equipment,10_4,Standard Transport Machinery,5.7,8,A8,X,16.1,11.5,14.0,20,328,high
Buick Heavy Industries,LCOV,Mid-Sized Utility Machines,3.6,6,AS6,X,13.8,9.0,11.7,24,274,high
Bentley Heavy Systems,CNIS,Compact Utility Equipment,6.0,12,AS8,Z,20.4,12.0,16.6,17,389,high
Ford Industrial Corp.,FSOD,Mid-Sized Utility Machines,2.0,4,AV,X,5.4,5.7,5.5,51,130,very low
Bauer Machinery Works,40_E,Compact Utility Equipment,3.0,6,AS8,Z,11.1,7.5,9.5,30,223,medium
Nissan Machinery Ltd.,30_R,Small-Scale Operator Machinery,3.7,6,AS7,Z,13.0,9.6,11.5,25,264,high
Porsche Engineering Works,91CS,Mini Utility Equipment,3.8,6,M7,Z,12.6,8.9,11.0,26,253,high
Subaru Heavy Machinery,IPED,Compact Utility Equipment,2.0,4,M5,X,9.5,7.0,8.4,34,193,low
Porsche Engineering Works,91G3,Small-Scale Operator Machinery,3.8,6,AM7,Z,16.0,11.5,14.0,20,322,high
General Manufacturing Corporation,YKNV,Standard Utility Vehicle,5.3,8,A6,E,19.8,13.9,17.2,16,285,high
Bauer Machinery Works,X_MM,Standard Utility Vehicle,4.4,8,AS8,Z,16.6,12.1,14.6,19,341,high
Lincoln Manufacturing,MTLD,Specialized Industrial Machinery,3.7,6,A6,X,14.1,10.0,12.2,23,281,high
General Manufacturing Corporation,CNOD,Light-Duty Transport Machinery,3.6,6,A6,X,13.6,9.9,11.9,24,279,high
Chevrolet Engineering Works,CUEE,Compact Utility Equipment,1.4,4,M6,X,8.2,5.8,7.1,40,167,low
Mini Industrial Tools,COE4,Compact Utility Equipment,1.6,4,M6,Z,9.5,7.7,8.7,32,200,low
General Manufacturing Corporation,YKND,Standard Utility Vehicle,5.3,8,A6,X,16.8,11.3,14.4,20,337,high
Ford Industrial Corp.,F10),Standard Transport Machinery,5.0,8,AS10,X,14.7,11.2,13.1,22,307,high
Korea Industrial Apparatus,FREE,Mid-Sized Utility Machines,2.0,4,M6,X,9.7,6.8,8.4,34,193,low
Nissan Machinery Ltd.,PTFM,Small Utility Vehicle,3.5,6,AV,X,12.4,9.2,11.0,26,257,high
Dodge Equipment Ltd.,DRNV,Standard Utility Vehicle,3.6,6,A8,E,17.7,13.0,15.6,18,250,medium
Ram Industrial Equipment,10_),Standard Transport Machinery,5.7,8,A8,X,15.8,10.9,13.6,21,319,high
Hyundai Manufacturing Solutions,TCON,Small Utility Vehicle,1.6,4,AM7,X,9.9,8.5,9.3,30,221,medium
Lexus Engineering,R_FF,Subcompact Utility Machinery,5.0,8,AS8,Z,15.2,9.5,12.6,22,290,high
Chrysler Engineering,3000,Heavy-Duty Utility Machinery,5.7,8,A8,X,14.7,9.4,12.3,23,289,high
Genesis Engineering Systems,G0AD,Heavy-Duty Utility Machinery,5.0,8,AS8,Z,15.4,10.2,13.1,22,311,high
Lincoln Manufacturing,AITR,Standard Utility Vehicle,3.0,6,AS10,X,13.7,9.7,11.9,24,280,high
Jeep Engineering Co.,GAD4,Standard Utility Vehicle,3.6,6,A8,X,12.7,9.6,11.3,25,265,high
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,3.0,6,AS8,Z,12.2,8.7,10.6,27,244,medium
Ford Industrial Corp.,MSAG,Subcompact Utility Machinery,5.0,8,AS10,X,15.0,9.1,12.3,23,289,high
Fiat Industrial Equipment,50XX,Small Utility Vehicle,1.4,4,M6,X,9.5,6.9,8.3,34,194,low
Nissan Machinery Ltd.,PTFM,Small Utility Vehicle,3.5,6,AV,X,12.4,9.2,11.0,26,258,high
Chevrolet Engineering Works,SNCC,Compact Utility Equipment,1.4,4,AS6,X,8.8,6.6,7.8,36,184,low
Nissan Machinery Ltd.,FOTD,Light-Duty Transport Machinery,4.0,6,A5,X,15.8,11.5,13.9,20,326,high
Bauer Machinery Works,35_N,Compact Utility Equipment,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,medium
Land Rover Machinery Co.,RNEE,Small Utility Vehicle,2.0,4,AS9,Z,10.9,8.0,9.6,29,225,medium
Ford Industrial Corp.,ECPD,Small Utility Vehicle,2.0,4,AS6,X,11.5,8.8,10.3,27,241,medium
Mercedes Industrial Solutions,AGCC,Compact Utility Equipment,5.5,8,AS7,Z,15.1,10.8,13.1,22,308,high
Bauer Machinery Works,60_E,Compact Utility Equipment,3.0,6,AS8,Z,12.3,8.4,10.5,27,248,medium
Jeep Engineering Co.,WAGE,Small Utility Vehicle,2.0,4,A8,X,11.3,10.5,10.9,26,257,high
Jaguar Industrial Machines,FPCS,Small Utility Vehicle,3.0,6,AS8,Z,13.3,10.0,11.8,24,277,high
Honda Heavy Industries,CVCN,Mid-Sized Utility Machines,2.0,4,AV,X,7.8,5.8,6.9,41,162,low
Dodge Equipment Ltd.,CALD,Mid-Sized Utility Machines,3.6,6,A8,X,12.8,8.7,11.0,26,258,high
Chevrolet Engineering Works,MLBU,Mid-Sized Utility Machines,1.5,4,AV,X,8.2,6.6,7.5,38,174,low
Volvo Industrial Solutions,X6_D,Small Utility Vehicle,2.0,4,AS8,Z,10.7,8.5,9.8,29,228,medium
Bauer Machinery Works,60_T,Subcompact Utility Machinery,4.4,8,AS8,Z,14.7,9.6,12.4,23,292,high
Toyota Heavy Machinery,PISC,Compact Utility Equipment,1.5,4,AV,X,4.9,5.5,5.1,55,120,very low
Ford Industrial Corp.,TUUD,Heavy-Duty Utility Machinery,3.5,6,AS6,E,18.5,13.0,16.0,18,267,high
Volkswaren Machine Systems,JTA),Compact Utility Equipment,2.0,4,M6,D,7.6,5.1,6.5,43,176,low
Chevrolet Engineering Works,SLEO,Standard Transport Machinery,4.3,6,A6,X,13.4,9.9,11.9,24,274,high
Acura Manufacturing,RXHD,Mid-Sized Utility Machines,3.5,6,AM7,Z,8.4,8.2,8.4,34,196,low
Cadillac Engineering Solutions,C5AD,Mid-Sized Utility Machines,2.0,4,AS10,Z,11.0,7.7,9.5,30,221,medium
Bauer Machinery Works,60_O,Heavy-Duty Utility Machinery,3.0,6,AS8,Z,11.9,8.4,10.3,27,241,medium
Land Rover Machinery Co.,RNER,Small Utility Vehicle,2.0,4,AS8,D,9.2,7.8,8.5,33,229,medium
Korea Industrial Apparatus,K000,Heavy-Duty Utility Machinery,3.8,6,AS8,X,13.3,8.9,11.3,25,260,high
Maserat Engineering Ltd.,LVNS,Standard Utility Vehicle,3.0,6,AS8,Z,16.8,12.4,14.7,19,346,high
Honda Heavy Industries,CVCD,Compact Utility Equipment,1.5,4,AV,X,5.3,5.0,5.2,54,120,very low
Jeep Engineering Co.,CEOE,Small Utility Vehicle,2.4,4,A9,X,10.8,7.6,9.3,30,219,medium
Lincoln Manufacturing,MTLY,Specialized Industrial Machinery,2.0,4,AS6,X,13.1,9.4,11.4,25,268,high
Land Rover Machinery Co.,RNE0,Small Utility Vehicle,2.0,4,AS9,Z,11.4,8.9,10.3,27,242,medium
Subaru Heavy Machinery,LGCD,Mid-Sized Utility Machines,2.5,4,M6,X,11.3,8.2,9.9,29,228,medium
Ford Industrial Corp.,TASN,Specialized Industrial Machinery,2.5,4,AS6,X,12.0,8.8,10.6,27,247,medium
Porsche Engineering Works,PNMO,Heavy-Duty Utility Machinery,4.0,8,AM8,Z,12.8,9.2,11.2,25,261,high
Mitsubishi Industrial Equipment,LNER,Compact Utility Equipment,2.4,4,M5,X,10.5,7.7,9.2,31,217,medium
Mercedes Industrial Solutions,AGCT,Subcompact Utility Machinery,3.0,6,A9,Z,12.3,9.4,11.0,26,256,high
Porsche Engineering Works,91TO,Mini Utility Equipment,3.8,6,AM7,Z,12.6,9.9,11.4,25,266,high
Nissan Machinery Ltd.,VRAA,Mid-Sized Utility Machines,1.6,4,AV,X,7.6,6.2,7.0,40,164,low
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,5.0,8,AS8,Z,15.2,9.8,12.7,22,299,high
Mazda Manufacturing Corp.,MZA),Mid-Sized Utility Machines,2.5,4,AS6,X,8.2,6.0,7.2,39,166,low
Chevrolet Engineering Works,EUNV,Small Utility Vehicle,2.4,4,A6,X,10.5,7.3,9.1,31,214,medium
